50,85.5,96.5,99,99.5,100,100,99,99,100,97,97,96,96,99,98,99,97,97,97,100,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
14.5,50,82.5,92.5,99.5,99,97,99,99,97,100,97,98,99,98,96,96,97,98,100,98,99,99,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
3.5,17.5,50,79.5,88.5,96,99,98,100,98,98,99,98,98,97,100,98,99,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,7.5,20.5,50,65.5,85,95,91.5,98,100,100,100,100,100,98,97,100,100,99,100,100,98,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0.5,0.5,11.5,34.5,50,72.5,85.5,92.5,98,96,96,100,100,100,100,100,99,100,100,100,99,100,99,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0,1,4,15,27.5,50,73,83.5,94,96,96,96,100,99,100,100,99,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0,3,1,5,14.5,27,50,67,75.5,90.5,96.5,98,96,100,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,1,2,8.5,7.5,16.5,33,50,68.5,75.5,87,84,96,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,1,0,2,2,6,24.5,31.5,50,66.5,83.5,79.5,90.5,96,98,100,99,98,100,100,99,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0,3,2,0,4,4,9.5,24.5,33.5,50,64,78.5,78.5,91.5,93,99,97,98,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
3,0,2,0,4,4,3.5,13,16.5,36,50,52.5,75,85,87.5,95,99,98,99,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
3,3,1,0,0,4,2,16,20.5,21.5,47.5,50,57.5,75.5,87,88,91,94,97,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
4,2,2,0,0,0,4,4,9.5,21.5,25,42.5,50,68.5,66.5,89.5,93,94,97,98,98,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
4,1,2,0,0,1,0,1,4,8.5,15,24.5,31.5,50,57.5,75,79,88.5,91,98,97,97,98,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
